,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
7717,2020-03-08,Johnson,0,1,0,1,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0
7716,2020-03-09,Johnson,0,1,0,1,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0
7715,2020-03-10,Johnson,0,1,0,1,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0
7714,2020-03-11,Johnson,0,1,0,1,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0
7713,2020-03-12,Johnson,3,4,4,5,0.75,0.75,0.8,0,0,1,1,0.0,0.0,0.0
7712,2020-03-13,Johnson,0,4,1,6,0.0,0.0,0.6666666666666666,0,0,0,1,0.0,0.0,0.0
7711,2020-03-13,Wyandotte,0,1,1,6,0.0,0.0,0.16666666666666666,0,1,0,1,0.0,0.0,1.0
7710,2020-03-14,Butler,0,1,2,8,0.0,0.0,0.125,0,0,0,1,0.0,0.0,0.0
7709,2020-03-14,Johnson,1,5,2,8,0.2,0.5,0.625,0,0,0,1,0.0,0.0,0.0
7708,2020-03-14,Wyandotte,0,1,2,8,0.0,0.0,0.125,0,1,0,1,0.0,0.0,1.0
7707,2020-03-15,Butler,0,1,1,9,0.0,0.0,0.1111111111111111,0,0,0,1,0.0,0.0,0.0
7706,2020-03-15,Franklin,0,1,1,9,0.0,0.0,0.1111111111111111,0,0,0,1,0.0,0.0,0.0
7705,2020-03-15,Johnson,1,6,1,9,0.16666666666666666,1.0,0.6666666666666666,0,0,0,1,0.0,0.0,0.0
7704,2020-03-15,Wyandotte,0,1,1,9,0.0,0.0,0.1111111111111111,0,1,0,1,0.0,0.0,1.0
7703,2020-03-16,Butler,0,1,2,11,0.0,0.0,0.09090909090909091,0,0,0,1,0.0,0.0,0.0
7702,2020-03-16,Franklin,0,1,2,11,0.0,0.0,0.09090909090909091,0,0,0,1,0.0,0.0,0.0
7701,2020-03-16,Johnson,2,8,2,11,0.25,1.0,0.7272727272727274,0,0,0,1,0.0,0.0,0.0
7700,2020-03-16,Wyandotte,0,1,2,11,0.0,0.0,0.09090909090909091,0,1,0,1,0.0,0.0,1.0
7699,2020-03-17,Butler,0,1,6,17,0.0,0.0,0.05882352941176471,0,0,0,1,0.0,0.0,0.0
7698,2020-03-17,Franklin,0,1,6,17,0.0,0.0,0.05882352941176471,0,0,0,1,0.0,0.0,0.0
7697,2020-03-17,Johnson,2,10,6,17,0.2,0.3333333333333333,0.5882352941176471,0,0,0,1,0.0,0.0,0.0
7696,2020-03-17,Wyandotte,2,3,6,17,0.6666666666666666,0.3333333333333333,0.17647058823529413,0,1,0,1,0.0,0.0,1.0
7695,2020-03-18,Butler,0,1,5,22,0.0,0.0,0.045454545454545456,0,0,0,1,0.0,0.0,0.0
7694,2020-03-18,Douglas,0,1,5,22,0.0,0.0,0.045454545454545456,0,0,0,1,0.0,0.0,0.0
7693,2020-03-18,Ford,0,1,5,22,0.0,0.0,0.045454545454545456,0,0,0,1,0.0,0.0,0.0
7692,2020-03-18,Franklin,0,1,5,22,0.0,0.0,0.045454545454545456,0,0,0,1,0.0,0.0,0.0
7691,2020-03-18,Johnson,1,11,5,22,0.09090909090909091,0.2,0.5,0,0,0,1,0.0,0.0,0.0
7690,2020-03-18,Wyandotte,2,5,5,22,0.4,0.4,0.2272727272727273,0,1,0,1,0.0,0.0,1.0
7689,2020-03-19,Butler,0,1,13,35,0.0,0.0,0.028571428571428567,0,0,0,1,0.0,0.0,0.0
7688,2020-03-19,Douglas,0,1,13,35,0.0,0.0,0.028571428571428567,0,0,0,1,0.0,0.0,0.0
7687,2020-03-19,Ford,0,1,13,35,0.0,0.0,0.028571428571428567,0,0,0,1,0.0,0.0,0.0
7686,2020-03-19,Franklin,0,1,13,35,0.0,0.0,0.028571428571428567,0,0,0,1,0.0,0.0,0.0
7685,2020-03-19,Johnson,5,16,13,35,0.3125,0.38461538461538464,0.4571428571428571,0,0,0,1,0.0,0.0,0.0
7684,2020-03-19,Leavenworth,0,2,13,35,0.0,0.0,0.057142857142857134,0,0,0,1,0.0,0.0,0.0
7683,2020-03-19,Wyandotte,3,8,13,35,0.375,0.2307692307692308,0.22857142857142854,0,1,0,1,0.0,0.0,1.0
7682,2020-03-20,Butler,1,2,14,49,0.5,0.07142857142857144,0.040816326530612235,0,0,0,1,0.0,0.0,0.0
7681,2020-03-20,Cherokee,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7680,2020-03-20,Douglas,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7679,2020-03-20,Ford,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7678,2020-03-20,Franklin,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7677,2020-03-20,Johnson,8,24,14,49,0.3333333333333333,0.5714285714285714,0.4897959183673469,0,0,0,1,0.0,0.0,0.0
7676,2020-03-20,Leavenworth,2,4,14,49,0.5,0.14285714285714285,0.08163265306122447,0,0,0,1,0.0,0.0,0.0
7675,2020-03-20,Linn,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7674,2020-03-20,Morris,0,2,14,49,0.0,0.0,0.040816326530612235,0,0,0,1,0.0,0.0,0.0
7673,2020-03-20,Sedgwick,0,1,14,49,0.0,0.0,0.020408163265306117,0,0,0,1,0.0,0.0,0.0
7672,2020-03-20,Wyandotte,1,9,14,49,0.1111111111111111,0.07142857142857144,0.1836734693877551,0,1,0,1,0.0,0.0,1.0
7671,2020-03-21,Butler,0,2,8,57,0.0,0.0,0.035087719298245605,0,0,1,2,0.0,0.0,0.0
7670,2020-03-21,Cherokee,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7669,2020-03-21,Douglas,2,3,8,57,0.6666666666666666,0.25,0.05263157894736842,0,0,1,2,0.0,0.0,0.0
7668,2020-03-21,Ford,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7667,2020-03-21,Franklin,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7666,2020-03-21,Johnson,1,25,8,57,0.04,0.125,0.43859649122807015,1,1,1,2,1.0,1.0,0.5
7665,2020-03-21,Leavenworth,0,4,8,57,0.0,0.0,0.07017543859649121,0,0,1,2,0.0,0.0,0.0
7664,2020-03-21,Linn,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7663,2020-03-21,Morris,0,2,8,57,0.0,0.0,0.035087719298245605,0,0,1,2,0.0,0.0,0.0
7662,2020-03-21,Reno,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7661,2020-03-21,Riley,0,1,8,57,0.0,0.0,0.017543859649122806,0,0,1,2,0.0,0.0,0.0
7660,2020-03-21,Sedgwick,1,2,8,57,0.5,0.125,0.035087719298245605,0,0,1,2,0.0,0.0,0.0
7659,2020-03-21,Wyandotte,4,13,8,57,0.3076923076923077,0.5,0.2280701754385965,0,1,1,2,0.0,0.0,0.5
7658,2020-03-22,Butler,1,3,9,66,0.3333333333333333,0.1111111111111111,0.045454545454545456,0,0,0,2,0.0,0.0,0.0
7657,2020-03-22,Cherokee,0,1,9,66,0.0,0.0,0.015151515151515154,0,0,0,2,0.0,0.0,0.0
7656,2020-03-22,Douglas,1,4,9,66,0.25,0.1111111111111111,0.060606060606060615,0,0,0,2,0.0,0.0,0.0
7655,2020-03-22,Ford,0,1,9,66,0.0,0.0,0.015151515151515154,0,0,0,2,0.0,0.0,0.0
7654,2020-03-22,Franklin,0,1,9,66,0.0,0.0,0.015151515151515154,0,0,0,2,0.0,0.0,0.0
7653,2020-03-22,Johnson,3,28,9,66,0.10714285714285714,0.3333333333333333,0.42424242424242425,0,1,0,2,0.0,0.0,0.5
7652,2020-03-22,Leavenworth,0,4,9,66,0.0,0.0,0.060606060606060615,0,0,0,2,0.0,0.0,0.0
7651,2020-03-22,Linn,0,1,9,66,0.0,0.0,0.015151515151515154,0,0,0,2,0.0,0.0,0.0
7650,2020-03-22,Morris,0,2,9,66,0.0,0.0,0.030303030303030307,0,0,0,2,0.0,0.0,0.0
7649,2020-03-22,Reno,1,2,9,66,0.5,0.1111111111111111,0.030303030303030307,0,0,0,2,0.0,0.0,0.0
7648,2020-03-22,Riley,0,1,9,66,0.0,0.0,0.015151515151515154,0,0,0,2,0.0,0.0,0.0
7647,2020-03-22,Sedgwick,0,2,9,66,0.0,0.0,0.030303030303030307,0,0,0,2,0.0,0.0,0.0
7646,2020-03-22,Wyandotte,1,14,9,66,0.07142857142857144,0.1111111111111111,0.21212121212121213,0,1,0,2,0.0,0.0,0.5
7645,2020-03-23,Butler,0,3,16,82,0.0,0.0,0.03658536585365853,0,0,0,2,0.0,0.0,0.0
7644,2020-03-23,Cherokee,1,2,16,82,0.5,0.0625,0.024390243902439025,0,0,0,2,0.0,0.0,0.0
7643,2020-03-23,Douglas,2,6,16,82,0.3333333333333333,0.125,0.07317073170731707,0,0,0,2,0.0,0.0,0.0
7642,2020-03-23,Ford,0,1,16,82,0.0,0.0,0.012195121951219513,0,0,0,2,0.0,0.0,0.0
7641,2020-03-23,Franklin,0,1,16,82,0.0,0.0,0.012195121951219513,0,0,0,2,0.0,0.0,0.0
7640,2020-03-23,Jackson,0,1,16,82,0.0,0.0,0.012195121951219513,0,0,0,2,0.0,0.0,0.0
7639,2020-03-23,Johnson,4,32,16,82,0.125,0.25,0.3902439024390244,0,1,0,2,0.0,0.0,0.5
7638,2020-03-23,Leavenworth,1,5,16,82,0.2,0.0625,0.06097560975609756,0,0,0,2,0.0,0.0,0.0
7637,2020-03-23,Linn,1,2,16,82,0.5,0.0625,0.024390243902439025,0,0,0,2,0.0,0.0,0.0
7636,2020-03-23,Mitchell,2,3,16,82,0.6666666666666666,0.125,0.03658536585365853,0,0,0,2,0.0,0.0,0.0
7635,2020-03-23,Morris,0,2,16,82,0.0,0.0,0.024390243902439025,0,0,0,2,0.0,0.0,0.0
7634,2020-03-23,Reno,0,2,16,82,0.0,0.0,0.024390243902439025,0,0,0,2,0.0,0.0,0.0
7633,2020-03-23,Riley,0,1,16,82,0.0,0.0,0.012195121951219513,0,0,0,2,0.0,0.0,0.0
