,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
95,2020-07-02,Allen,0,5,84,15226,0.0,0.0,0.0003283856561145409,0,0,2,282,0.0,0.0,0.0
94,2020-07-02,Anderson,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
93,2020-07-02,Atchison,0,34,84,15226,0.0,0.0,0.0022330224615788787,0,0,2,282,0.0,0.0,0.0
92,2020-07-02,Barber,0,1,84,15226,0.0,0.0,6.567713122290818e-05,0,0,2,282,0.0,0.0,0.0
91,2020-07-02,Barton,0,57,84,15226,0.0,0.0,0.0037435964797057674,0,2,2,282,0.0,0.0,0.007092198581560284
90,2020-07-02,Bourbon,0,27,84,15226,0.0,0.0,0.0017732825430185207,0,1,2,282,0.0,0.0,0.0035460992907801413
89,2020-07-02,Brown,0,11,84,15226,0.0,0.0,0.0007224484434519901,0,0,2,282,0.0,0.0,0.0
88,2020-07-02,Butler,3,64,84,15226,0.046875,0.03571428571428571,0.0042033363982661226,0,0,2,282,0.0,0.0,0.0
87,2020-07-02,Chase,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
86,2020-07-02,Chautauqua,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
85,2020-07-02,Cherokee,0,31,84,15226,0.0,0.0,0.0020359910679101536,0,0,2,282,0.0,0.0,0.0
84,2020-07-02,Cheyenne,0,2,84,15226,0.0,0.0,0.00013135426244581636,0,0,2,282,0.0,0.0,0.0
83,2020-07-02,Clark,0,34,84,15226,0.0,0.0,0.0022330224615788787,0,0,2,282,0.0,0.0,0.0
82,2020-07-02,Clay,0,7,84,15226,0.0,0.0,0.0004597399185603573,0,2,2,282,0.0,0.0,0.007092198581560284
81,2020-07-02,Cloud,0,18,84,15226,0.0,0.0,0.0011821883620123472,0,0,2,282,0.0,0.0,0.0
